NLR clade,gene_short_na
NLR-Coffea-ND-27,Cc05g04460
NLR-Coffea-ND-27,Cc05g04510
NLR-Coffea-ND-27,Cc05g04520
NLR-Coffea-ND-27,Cc05g04530
NLR-Coffea-ND-27,Cc05g04560
NLR-Coffea-ND-27,Cc05g05210
NLR-Coffea-ND-27,Cc05g05230
NLR-Coffea-ND-27,Cc05g05270
NLR-Coffea-ND-27,Cc05g05280
NLR-Coffea-ND-28,Cc00g10030
NLR-Coffea-ND-28,Cc00g27600
NLR-Coffea-ND-28,Cc03g09510
NLR-Coffea-ND-28,Cc03g09550
NLR-Coffea-ND-28,Cc03g09570
NLR-Coffea-ND-28,Cc03g09830
NLR-Coffea-ND-28,Cc03g09840
NLR-Coffea-ND-28,Cc03g09860
NLR-Coffea-ND-28,Cc03g10280
NLR-Coffea-ND-28,Cc03g10330
NLR-Coffea-ND-28,Cc03g10340
NLR-Coffea-ND-28,Cc03g10390
NLR-Coffea-ND-28,Cc03g10410
NLR-Coffea-ND-28,Cc03g10430
NLR-Coffea-ND-29,Cc05g09070
NLR-Coffea-ND-3,Cc02g26510
NLR-Coffea-ND-3,Cc02g26540
NLR-Coffea-ND-30,Cc05g09090
NLR-Coffea-ND-31,Cc05g08910
NLR-Coffea-ND-32,Cc00g11710
NLR-Coffea-ND-32,Cc00g20620
NLR-Coffea-ND-32,Cc02g33000
NLR-Coffea-ND-32,Cc02g33010
NLR-Coffea-ND-33,Cc00g09780
NLR-Coffea-ND-33,Cc00g19440
NLR-Coffea-ND-33,Cc00g25340
NLR-Coffea-ND-33,Cc01g07920
NLR-Coffea-ND-33,Cc01g07930
NLR-Coffea-ND-33,Cc01g07940
NLR-Coffea-ND-33,Cc01g07950
NLR-Coffea-ND-33,Cc01g08050
NLR-Coffea-ND-33,Cc01g08070
NLR-Coffea-ND-33,Cc01g08110
NLR-Coffea-ND-33,Cc01g08120
NLR-Coffea-ND-33,Cc10g11630
NLR-Coffea-ND-33,Cc10g11650
NLR-Coffea-ND-33,Cc11g04530
NLR-Coffea-ND-34,Cc00g01290
NLR-Coffea-ND-34,Cc00g01320
NLR-Coffea-ND-34,Cc00g01350
NLR-Coffea-ND-34,Cc00g02960
NLR-Coffea-ND-34,Cc00g03010
NLR-Coffea-ND-34,Cc00g03250
NLR-Coffea-ND-34,Cc00g05420
NLR-Coffea-ND-34,Cc00g05430
NLR-Coffea-ND-34,Cc00g05470
NLR-Coffea-ND-34,Cc00g05490
NLR-Coffea-ND-34,Cc00g10160
NLR-Coffea-ND-34,Cc00g10170
NLR-Coffea-ND-34,Cc00g11190
NLR-Coffea-ND-34,Cc00g14360
NLR-Coffea-ND-34,Cc00g18650
NLR-Coffea-ND-34,Cc00g19160
NLR-Coffea-ND-34,Cc00g22010
NLR-Coffea-ND-34,Cc00g29500
NLR-Coffea-ND-34,Cc00g30180
NLR-Coffea-ND-34,Cc02g33990
NLR-Coffea-ND-34,Cc04g11980
NLR-Coffea-ND-34,Cc04g12020
NLR-Coffea-ND-34,Cc07g17040
NLR-Coffea-ND-34,Cc07g17220
NLR-Coffea-ND-34,Cc07g17250
NLR-Coffea-ND-34,Cc07g17260
NLR-Coffea-ND-34,Cc07g17270
NLR-Coffea-ND-34,Cc07g17280
NLR-Coffea-ND-34,Cc07g17810
NLR-Coffea-ND-34,Cc07g17820
NLR-Coffea-ND-34,Cc07g17830
NLR-Coffea-ND-34,Cc07g17840
NLR-Coffea-ND-34,Cc07g19700
NLR-Coffea-ND-34,Cc07g19710
NLR-Coffea-ND-34,Cc07g20460
NLR-Coffea-ND-34,Cc07g20590
NLR-Coffea-ND-34,Cc07g20740
NLR-Coffea-ND-34,Cc07g20790
NLR-Coffea-ND-34,Cc07g20800
NLR-Coffea-ND-34,Cc07g21230
NLR-Coffea-ND-34,Cc07g21460
NLR-Coffea-ND-34,Cc11g03800
NLR-Coffea-ND-34,Cc11g03840
NLR-Coffea-ND-34,Cc11g03860
NLR-Coffea-ND-4,Cc00g17360
